"","HC_148","HC_025","HC_061","HC_128","HC_064","HC_066","HC_069","HC_105","HC_108","HC_109","HC_110","HC_111","HC_063","HC_130","HC_131","HC_132","HC_020","HC_178","HC_176","HC_027"
"SDHAF4",5.23796260237765,3.15137439012573,7.92513062262357,5.47721121528755,6.99388713693975,6.61290242041676,8.22850563873673,7.70042311624903,7.93799184581164,9.17235693755828,7.1590259573345,8.95854086825515,7.43983249208049,4.11050394224995,8.14965431703746,9.05924638681208,4.95898385780237,7.93865953944225,5.29177778030498,4.46483123870571
"LINC01615",0,0.393921798765716,0.143225252216089,0,0.0587721608146198,0,0.0742980193113926,0,0,0,0.0441007759178717,0,0.291044791866229,0.0790481527355759,0,0.0159493774415706,0,0.0162677449578735,0,0.0793747775769905
"CCDC126",6.29939995792555,6.30274878025145,8.85609476202814,8.79565188643896,9.25661532830261,10.6447485389872,6.90971579595951,8.92620475516214,8.22450110563923,8.87052435094759,9.56986837417815,9.96775920680858,8.44029896412065,8.35934215178716,7.74109644890102,7.67165054939545,8.80333372921796,8.31281767347334,3.9441821965006,5.99279570706278
"HOXA10-AS",0,0.030301676828132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454952647504804,0,0.0657363699416767,0
"AQP1",246.115018136388,76.9965608202834,52.6591510647819,306.224277847542,178.667368876444,46.408404486139,229.655177691514,188.330348214548,88.8515775182993,191.210943617874,397.392091795941,189.304475476879,180.174916464688,158.471784196646,93.8607944429249,79.5235959236709,227.954024032282,80.9482989103783,516.852208666433,168.869839295047
"PSMA2",2.67666811399034,2.45443582307869,1.2890272699448,1.64137925669855,0.955047613237571,1.70383455219922,1.70885444416203,1.72866641385182,1.66849510134894,1.42532054788383,1.8669328471899,1.94931213337033,1.81902994916393,2.52954088753843,1.78475279238551,1.27595019532565,1.81981059001922,2.27748429410228,1.9720910982503,2.24233746654998
"FKBP9P1",0.25382197632667,0.45452515242198,0.334192255170873,0.321139419788847,0.440791206109648,0.489219821918586,0.427213611040507,0.487169625721877,0.589872005527404,0.150916293305347,0.220503879589358,0.594471076134215,0.127332096441475,0.118572229103364,0.709600507815927,0.159493774415706,0.318466853253363,0.84592273780942,0.690231884387606,0.277811721519467
"RABGEF1",4.03807689610612,4.57555320104793,3.43740605318612,3.87151411634332,3.07084540256388,3.3570601573034,3.13909131590634,3.44161767848681,2.51116939495952,2.93448348093729,3.43986052159399,3.29032828185914,2.89225761917065,3.39907056762977,2.15030456913917,3.98734436039264,2.77521114977931,2.92819409241722,3.84557764158809,4.14733212839775
"XRCC2",1.96135163525154,1.60598887189099,1.36063989605284,1.33808091578686,0.910968492626606,2.02435788380105,2.21036607451393,1.32007253421412,1.41569281326577,1.5930053182231,2.77834888282591,1.42396560097265,2.05550384255524,1.10667413829806,0.731103553507319,1.67468463136491,1.27386741301345,1.51290028108223,0.723100069358444,2.71858613201192
"HR",23.097799845727,42.6647609740098,38.0740462141102,34.0050963398634,15.07505924895,26.0636077539385,38.9507366239976,13.7979010123809,15.5052070024346,41.4349067508346,22.3443931317216,16.106018690613,20.3731354306361,20.7303780549048,44.7693411294776,29.5222976443471,17.3791911346835,31.8034413926426,21.95594756052,44.6086249982686
"MSC",4.82261755020674,1.99991067065671,1.33676902068349,4.90629669121849,4.37852598068917,3.55949594568351,3.26911284970127,10.0891257972079,4.06169009520298,3.25308454458191,2.74894836554733,7.06452836987404,1.47341425882279,4.62431693503119,6.42941066172613,8.97949949960423,6.86978497732254,4.48989760837307,2.10356383813365,2.48046179928095
