"","EST","moduleColor","GS.Control","p.GS.Control","MM.darkseagreen4","p.MM.darkseagreen4","MM.purple","p.MM.purple","MM.cyan","p.MM.cyan","MM.maroon","p.MM.maroon","MM.orangered4","p.MM.orangered4","MM.lightyellow","p.MM.lightyellow","MM.midnightblue","p.MM.midnightblue","MM.brown4","p.MM.brown4","MM.bisque4","p.MM.bisque4","MM.yellow4","p.MM.yellow4","MM.white","p.MM.white","MM.lightpink4","p.MM.lightpink4","MM.plum1","p.MM.plum1","MM.navajowhite2","p.MM.navajowhite2","MM.royalblue","p.MM.royalblue","MM.thistle1","p.MM.thistle1","MM.greenyellow","p.MM.greenyellow","MM.darkmagenta","p.MM.darkmagenta","MM.grey","p.MM.grey","MM.honeydew1","p.MM.honeydew1","MM.coral1","p.MM.coral1","MM.darkgreen","p.MM.darkgreen"
"SDK2","SDK2","darkseagreen4",-0.452304271003011,0.0452505256905408,0.71572642247164,0.000387586868733395,-0.0638620968162787,0.789097239409975,0.131350461070615,0.580952008534898,0.49087383347679,0.0279715346552861,-0.376210696205411,0.102082073812308,-0.227206365968609,0.335371336221923,-0.276788568789306,0.237447927684861,0.575819837039465,0.00788689420999478,-0.630986184212761,0.00285218821018809,-0.191744962821311,0.418025802311503,0.211542868985769,0.370612724751748,-0.0708151505159345,0.766714167150916,-0.333655079099907,0.150532216676647,-0.0876004295620366,0.713437758924505,-0.482717103098675,0.0311010842864583,-0.117165373355582,0.622761104710946,0.0634140390858567,0.790545285648005,-0.511427107004894,0.0211766528399924,-0.0259264365860036,0.913600286050412,0.0442906091629487,0.852907416073571,-0.0415180341462736,0.862028096725818,-0.581335867192723,0.00718037967577218
"RABGAP1L-DT","RABGAP1L-DT","darkseagreen4",-0.449199487026987,0.0469350671316447,0.528736971292809,0.0165356539148391,0.0877531508155465,0.71295842773316,-0.124463195309286,0.601101893166302,0.109543595327736,0.645704504767934,-0.511416712095144,0.0211797213381783,-0.715118537817896,0.000394132404684504,0.213411880827901,0.366300983442252,0.0926961597853856,0.697501117523555,0.0713734132037283,0.764924465031392,0.196259206030564,0.406938095182683,0.259855081669609,0.268543472442195,-0.102712769515837,0.666532855581898,-0.452348290372527,0.0452269816965507,0.0482936656787464,0.839770865323125,0.037735068219773,0.874499518483472,0.0305432956253317,0.898285280534591,-0.207012737661562,0.381182267334899,0.364356305021028,0.114247533622121,0.260500699510286,0.267313213991868,-0.212477559677557,0.368452841344573,0.354803277930303,0.124783614910462,0.213945636906319,0.365074898911238
"HMGA1","HMGA1","darkseagreen4",-0.445876848558297,0.0487907299647435,0.699410591001604,0.000599122377756738,0.0139336653489325,0.953506943131489,0.0404880137577943,0.865420807898591,0.451350453841718,0.0457630000890077,-0.798194582972868,2.46848156217496e-05,-0.38011222187558,0.0982923220187585,0.133680237321873,0.574201947186275,0.435174923428028,0.0551515850025367,-0.269610260625353,0.250332360598052,0.485436738598098,0.0300285816617474,0.444930357520032,0.049329488613996,-0.615306025897445,0.00388034641517572,-0.298823628048685,0.200610264746561,-0.48816336335756,0.0289826682515358,-0.33035201372443,0.154864367993127,-0.401603302163997,0.0792351829695078,0.0603202439807752,0.800561709444652,0.294946071808989,0.206797979872878,-0.296157871721059,0.204850786904258,-0.366255811851131,0.112231281896195,0.0353435960819992,0.882398469942218,-0.0310295712410771,0.896674132703928
"SIPA1L2","SIPA1L2","darkseagreen4",-0.436590022788459,0.0542761094795471,0.66213962728614,0.00147011740142567,0.0144060992179465,0.951932268512392,0.0584789668647098,0.806537363739199,0.589577864297879,0.00622194663323335,-0.599756394825197,0.00518585901449602,-0.0549159756468574,0.818129730235389,-0.0610351806383119,0.798244317326275,0.39980744447891,0.0807133337919028,-0.392306753341025,0.087108801574915,0.339867450177786,0.142614412193656,0.197370083213691,0.404234418033163,-0.595301434932178,0.00562028837825156,-0.11383388884562,0.632750111092666,-0.612490217415564,0.00409404537269601,-0.388035067220779,0.0909139094545188,-0.523508207067605,0.0178419382553538,0.277509621315534,0.236177830072383,0.128117509369056,0.590374595507301,-0.524146240153446,0.0176782589551977,-0.31491062542571,0.176263367325325,-0.206943427195882,0.381345280600834,-0.113481440078068,0.633810509667684
"NLE1","NLE1","darkseagreen4",-0.420295972184577,0.0650199223789536,0.667482076569211,0.00130236215853616,0.0735659026941042,0.757906860690162,0.0193783345100975,0.935370735313407,0.626673392687137,0.00310920955785055,-0.378933477125915,0.0994263022292884,-0.0538495533229594,0.821606579548186,-0.284698440644814,0.223755246015727,0.615163025693167,0.00389097163050163,-0.589290337792439,0.00625351331044502,-0.126348443651459,0.595557663502447,0.168321391998789,0.478093010425981,-0.224773344367928,0.340711582581524,-0.256932133210533,0.274157679742445,-0.281176305528814,0.229787154698664,-0.619431929894386,0.00358397135718302,-0.324250806759632,0.163092326324451,0.17709819997243,0.455096681108615,-0.347693292296557,0.133061928199177,-0.242938058375785,0.302043159715535,-0.0979713076780097,0.681130918210628,-0.152517642209048,0.520916275807778,-0.425078722075939,0.0617131366003476
"THOC6","THOC6","darkseagreen4",-0.396390383319015,0.0835822050992222,0.68541522346979,0.000851831779892531,0.0672845164469417,0.778058838926776,-0.00284081130962663,0.990516239460006,0.517024034550742,0.0195750724151564,-0.257280853067541,0.27348406238108,-0.00491739996646263,0.98358446400122,-0.251801277489462,0.284188479612654,0.339718590331633,0.142800649931798,-0.44865350314047,0.0472362114805005,-0.0713795939844989,0.764904656824499,-0.0292027111976593,0.902728925031548,-0.178428504143342,0.451661598914818,-0.133983504006531,0.573325795901429,-0.178996467154497,0.450199110704564,-0.401597492969842,0.0792399318090563,-0.294573164491035,0.207399650763697,0.173292253375206,0.464998096820477,-0.258444561525964,0.271243630704599,-0.203959593431703,0.388400042259816,-0.140778468768969,0.553848677068738,-0.0387645447692803,0.871102664924405,-0.310989882799201,0.182002021802765
"ANKRD36BP2","ANKRD36BP2","darkseagreen4",-0.379180742965516,0.0991876403974335,0.626243980015247,0.00313582149718524,-0.0197629158541753,0.934090750720151,0.108486786217033,0.648910819650323,0.246112751581008,0.2955711671803,-0.744501868432218,0.000166661263988447,-0.239026831656947,0.310134110399919,0.170079159453764,0.473441538130316,0.651745659838452,0.00184877979693387,-0.294890375676154,0.206887769722039,0.482398150574014,0.0312288052815972,0.241536151762525,0.304928315100305,-0.686294695159272,0.000833660832803335,-0.296297549946846,0.204627129148189,-0.340776792219189,0.141480436136798,-0.624678817714548,0.00323442723527029,-0.470304731260207,0.0363823282797349,-0.125998551076528,0.596585032267293,0.0819853026095406,0.731131863611919,-0.2323403717317,0.324265505830087,-0.487151822594382,0.0293672941605809,0.122481810382415,0.606951671717062,-0.287042547138206,0.219798674968226
"ZNF418","ZNF418","darkseagreen4",0.30076550394252,0.197558359698422,-0.373237778769161,0.105040302134255,0.0823609922881569,0.729943807733831,-0.045408849028988,0.849233861826691,-0.135259777725779,0.569644949010788,0.13435635711074,0.572249401037098,0.18493729026472,0.435049613566547,-0.0128750505146006,0.957036018001751,-0.0683381274118504,0.774668725109298,0.0290290252100633,0.903304849769662,0.0624034051804737,0.793813902784281,-0.155986093630185,0.511366044950004,-0.0405190279319288,0.865318619104349,0.199973461283818,0.397936896372225,-0.00425418025663941,0.985798230291266,-0.0159814547496795,0.94668270429303,0.135140190125707,0.569989408543007,-0.0210041653636219,0.929960633972632,-0.0585055111996096,0.806451142939896,0.0471330970232518,0.84357538098415,0.0532954057924612,0.82341453231297,-0.142349617338854,0.549387702754713,0.0461636832060879,0.846755825263552
"DNAJC9","DNAJC9","darkseagreen4",-0.297685034879553,0.202414247702911,0.717982107274186,0.000364100524766529,0.256613818688443,0.274773466858202,-0.15020775638761,0.527322633246134,0.262848191367418,0.26286983519773,-0.5845696569332,0.00679087433612147,-0.155260237081103,0.5133577206627,-0.0160018884559573,0.946614626407093,0.659236122504376,0.00156865724719222,-0.304752572583829,0.191389864273946,0.423291905255209,0.0629333163945168,0.200390650949755,0.396932772622752,-0.624978307431466,0.00321536260930986,-0.358531892288039,0.120592101438516,-0.147574992799496,0.534668950603401,-0.61524363793744,0.00388497901227483,-0.365588483398625,0.112936682132168,-0.251478151207316,0.2848276848941,-0.055497852403135,0.816234014872738,-0.0201180387021973,0.932908949703968,-0.573301240294912,0.00822785105517963,0.241423177487215,0.305161543702955,-0.15227741854302,0.521580813433222
"ZBTB45","ZBTB45","darkseagreen4",-0.283461842661951,0.225861101150272,0.665424996325497,0.00136493957396603,-0.0103982785653397,0.96529566114169,0.0751919632220701,0.752713969165418,0.524684641799508,0.0175410750710633,-0.434901439276302,0.0553220127086797,-0.180046755401887,0.447501121190889,-0.116448569108397,0.624905071111342,0.577867430182889,0.00761828669935794,-0.496166294783161,0.0260773195783025,-0.151656798930493,0.523299493995803,-0.0899559191741545,0.70605641483751,-0.128954604110148,0.58792868314763,-0.291380836748593,0.21259782408007,-0.228520849844181,0.332506789731889,-0.626139659044978,0.00314231507103105,-0.349688531892602,0.130700686868941,0.0882548315539734,0.711384581463171,-0.285017425785585,0.223214121159636,-0.167883621648546,0.479254994083861,-0.146941302407261,0.536444179719223,0.0434424171474399,0.855695780103247,-0.490048910012787,0.0282762854124423
"RAD51","RAD51","darkseagreen4",-0.271142559167873,0.247545332776962,0.302146633518509,0.195406727172935,0.133980002573551,0.573335908394282,-0.0621800404280416,0.794536763364712,0.477478580842783,0.0332513180003187,-0.066291975364047,0.781255989851919,0.407989195845194,0.0741415713414782,-0.474862195656472,0.0343678455740538,0.0530619752731652,0.824176375967194,-0.44938689975414,0.0468320379559596,0.182009940309913,0.442480682490549,-0.238992043969799,0.31020665484698,-0.433416981598012,0.056254086010305,0.411737256891848,0.071268142738998,-0.314019245386428,0.177557086486543,-0.296515876706125,0.204277861646406,-0.398465235300571,0.0818313718123096,0.404112919450871,0.0772033451306905,-0.396164313123255,0.0837746312906341,-0.598078556433327,0.00534610407746497,-0.0229981439734417,0.923329547108629,-0.402526432686718,0.0784832336353154,-0.144711416441512,0.542712467983808
"MTND1P8","MTND1P8","darkseagreen4",0.236532281215439,0.315362051748781,-0.315066940974227,0.17603715952787,0.0717851133689501,0.763605353260634,-0.141022073631581,0.553155947699495,-0.355602466842334,0.123876595743277,0.123908692950175,0.60273664321784,-0.0889649511441171,0.709158753489749,0.236295547538461,0.315860916359952,-0.306987421808149,0.18798952258441,0.433214721662368,0.0563820009240203,0.188185971172979,0.426880542716881,-0.125664588958994,0.597566312489978,0.11779835080475,0.620870291347215,-0.00287169692651632,0.990413135469858,0.125890848593509,0.596901421010506,0.383925455639857,0.094688515854076,0.138076046652951,0.561559357283091,-0.190322614159593,0.421552668956436,0.397615756315315,0.0825448764514162,0.165424532202947,0.485808295263605,-0.170828631993016,0.471465197122773,0.157037719576868,0.508487048454589,0.413354219351132,0.0700545811942048
"ORMDL3","ORMDL3","darkseagreen4",-0.184411285708377,0.436380000009141,0.223643564062201,0.343208158470688,0.0875800697538066,0.713501668069208,-0.0465098844628502,0.845619746757783,0.382143886614998,0.0963600002192683,-0.129321353507315,0.586858426714357,0.0286882843327884,0.904434846056031,-0.249977191568396,0.287808507479518,0.3226623977327,0.16528287709465,-0.375475629725477,0.102807804839916,-0.140985928642424,0.553258707227882,0.0494778295833067,0.835892524660416,-1.81888110035836e-05,0.999939277191834,-0.109527072442161,0.645754588428099,-0.371090130317147,0.107215659887725,-0.0662100178406692,0.781520141407917,0.0506746044958094,0.831976582388415,0.166888575813089,0.481901396278154,-0.136250809815342,0.566793884635907,-0.0736352537243841,0.757685179650258,0.198877856892765,0.400580529373793,-0.415135205783782,0.0687359100432659,-0.138002383414892,0.561770198845187
"KLHL38","KLHL38","darkseagreen4",-0.174140521993873,0.462781844110122,0.508451535328814,0.0220695600943851,0.12965154238066,0.585895568287785,-0.0461402652804242,0.846832683014814,0.088442602496957,0.710795804983071,-0.493750080469017,0.0269291280767694,-0.10359190255852,0.663838621590259,0.0544647608069033,0.819600427750273,0.562318631413972,0.00985823639107942,-0.21685296075482,0.358437750678982,0.41946208556513,0.0656098711654771,0.355340827293811,0.124173017903598,-0.552604020245024,0.011510698531372,-0.41329772489108,0.0700967185248536,-0.211373562080429,0.371004725966313,-0.308609108786086,0.185547765363908,-0.186946434849462,0.429987770266452,-0.274427739836108,0.241637204339416,0.0555490069524973,0.816067403618501,0.0614775289465446,0.796811303549792,-0.458191931514711,0.0421842561795587,0.108344682317039,0.649342412411304,-0.0764569084995124,0.748681361853135
"ENSG00000246090","ENSG00000246090","darkseagreen4",0.163522175723683,0.490908148300867,-0.171537165194134,0.469600642704291,0.0679285100233658,0.775986253088768,-0.119631504715589,0.615407275576636,-0.358470615265298,0.120660161453271,0.00110532256495564,0.9963099252914,-0.311255864206475,0.181608761510069,0.375139486065346,0.103140925188015,0.141838272000551,0.550837790494887,0.3421131890266,0.13982541757751,-0.0757419979744914,0.750959710434097,0.225553636503809,0.338993525056588,0.424623770544439,0.0620221024638748,-0.462224404625851,0.0401785645137548,0.216683256810657,0.358823251155024,0.240189617309796,0.307715187534307,0.345586038542565,0.135588310361865,-0.452367877947827,0.0452165082090817,0.48264350416468,0.0311305197803259,0.560029889435578,0.0102290060708934,-0.081203659607522,0.73360556572303,0.26940274708709,0.250711330085717,0.1209422026755,0.611513128646771
"LINC01703","LINC01703","darkseagreen4",-0.152510619273063,0.520935697901415,0.100033326882693,0.674768570066109,0.0436190500574991,0.855114976550423,-0.0870450705610155,0.715181680185659,-0.209029225576787,0.376456765474591,-0.128386076176353,0.589589402145619,-0.377631731298057,0.100689655619366,0.30786310483999,0.186668340334611,0.112150419573966,0.637821285697692,0.273068372038157,0.244070816292466,0.0539508314919953,0.821276244328475,0.269647013811574,0.250265278582618,0.222297489342512,0.3461965976522,-0.544338396502464,0.0130871257628313,0.0257556768297096,0.914167324154824,0.295472210473809,0.205951046797928,0.243158847454485,0.30159028900899,-0.336101923159304,0.147377959314726,0.534444888952859,0.0151983526771772,0.40347941760001,0.0777125425440078,-0.192378026509084,0.416461176046505,0.121889756625412,0.608704129557708,0.258300628513171,0.271520113507881
"DUSP5P1","DUSP5P1","darkseagreen4",0.152168010877372,0.521883603035582,-0.220210782161403,0.350859143157317,0.0992180303178432,0.677281652709208,-0.0919055430130275,0.69996594770081,-0.0731056613154698,0.759378485678047,0.385216838886356,0.0934902628168255,0.501879945214104,0.0241475068617111,-0.160457328454015,0.499179331794551,-0.305163276895238,0.190761896056986,0.149251068654071,0.529986668345875,-0.0426645272514897,0.858254480579637,-0.484268660530335,0.0304856062039759,-0.124141283200764,0.602050712105748,0.466003241778934,0.0383668078732263,0.225893472566045,0.33824686034163,-0.108786073571914,0.648002187515991,-0.335714814018867,0.147873887081788,0.138265348069117,0.561017692443705,-0.229826382280368,0.329676092011204,-0.337379683981882,0.145749258138007,-0.129060111986744,0.587620703168026,0.0835531926182136,0.726177605372412,0.104315086768775,0.661625287489054
"ENSG00000270083","ENSG00000270083","darkseagreen4",-0.148819594208655,0.531190212072708,0.343713123221472,0.137861985019449,0.107371680146955,0.652300463334515,-0.0798384036900644,0.737932310790314,-0.0493924046898172,0.836172184981426,-0.206483168582254,0.382428767393667,-0.0135080890737469,0.95492557836568,0.129549469610061,0.586193149496532,0.236055143737325,0.316367999142097,0.0841059535173586,0.724433459118253,0.284816568578087,0.223554754532991,0.137890761455095,0.562089753846039,-0.366292873570346,0.112192199001178,-0.0668173488241735,0.779563244353403,-0.0602963781782276,0.800639095728402,-0.273890828469209,0.242596539898531,-0.28630306828221,0.221041839361467,-0.208487959743922,0.377721929305493,0.150374725466972,0.526858324517621,-0.0232866668581708,0.922370441309304,-0.399686333361322,0.0808137498114942,0.247258234265291,0.293256961669745,0.0814026635501281,0.73297552769325
"ISLR","ISLR","darkseagreen4",-0.13007281088102,0.5846680877227,0.299924711389549,0.198875938224385,0.101979524820244,0.668783005404722,-0.0924163610095495,0.698373087391056,-0.116279962109629,0.62540979830518,-0.255291455876871,0.277340839481006,-0.222809164693766,0.345058841002749,0.217684350400646,0.356552602895427,0.522032984944811,0.0182250293575795,0.0639791097443516,0.788719182981945,0.121755030601288,0.609103201077025,0.339900145944843,0.14257352951987,0.00473883937767674,0.98418047208058,-0.587731236537666,0.00642698066417613,-0.123151717180686,0.60497125989478,-0.0476172611551158,0.841987808914039,0.0409939791635816,0.863753957351396,-0.436192888726467,0.0545207271671634,0.32340055929238,0.164262388180356,0.327406020689595,0.15880051500842,-0.289895729989482,0.215045104483178,0.0851513011264835,0.721138613321263,0.036388831434477,0.878944734403398
"REPIN1-AS1","REPIN1-AS1","darkseagreen4",-0.128501307611083,0.58925264156207,0.262525293087214,0.263478242727115,0.104142920772675,0.662151964161898,-0.0381770182645996,0.87304100084456,0.00176862203502915,0.994095556834339,-0.265141215559423,0.258574809124992,0.135237469413722,0.569709198875311,-0.0856464725525504,0.719579521013099,0.455842344549294,0.0433880462820978,-0.195966636792516,0.407651792439082,0.365088012367875,0.113467795510489,-0.120736084275433,0.612124855231486,-0.469577841300971,0.036711944459714,-0.236913134532633,0.314560479468334,-0.0556679225924354,0.815680122690784,-0.407701728188721,0.0743654728165512,-0.40666625558247,0.075176159955772,-0.204471052660499,0.38718565752767,-0.199151685736427,0.399918893498929,-0.200705785629344,0.396175209575531,-0.491302658519618,0.0278141383454172,0.0207058600966599,0.930953057377185,-0.169356159686633,0.475352008840559
